Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,-3.454927
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,-3.388587
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,-3.393347
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,-3.377537
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,-3.439767
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,-3.443407
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-3.444227
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,-3.150187
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,-3.140517
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,-3.351107
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,-3.396307
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,-3.343947
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,-3.156417
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,-3.230417
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,-3.142077
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,-3.065197
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,-3.108637
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,-3.101587
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,-3.108007
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,-3.381657
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,-3.509677
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,-3.123097
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,-3.061027
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-3.161157
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,-3.144217
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,-3.138737
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,-3.136257
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,-3.151547
0,4,0,0,0,0,0,1,2,1,2,0,0,0,1,-3.150797
0,4,0,0,0,0,0,1,1,2,2,0,1,0,0,-3.152967
1,3,0,0,0,1,0,1,1,1,0,0,1,1,1,-3.151357
0,3,1,0,0,2,0,0,1,1,0,0,1,1,1,-3.119617
0,3,1,0,0,1,0,1,1,1,1,0,0,1,1,-3.117497
0,3,0,1,0,2,0,1,0,1,0,0,1,1,1,-3.116647
0,3,0,1,0,1,0,2,0,1,1,0,0,1,1,-3.112137
