Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,-0.189128
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,-0.186708
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,-0.194838
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,-0.194908
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,-0.189358
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,-0.190868
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-0.201268
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,-0.194458
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,-0.203008
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,-0.190088
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,-0.195058
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,-0.194888
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,-0.192878
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,-0.209208
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,-0.179148
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,-0.195998
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,-0.176938
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,-0.184468
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,-0.177598
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,-0.193838
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,-0.201758
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,-0.172768
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,-0.194368
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-0.175598
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,-0.190118
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,-0.187418
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,-0.189818
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,-0.200318
0,4,0,0,0,0,0,1,2,1,2,0,0,0,1,-0.200708
0,4,0,0,0,0,0,1,1,2,2,0,1,0,0,-0.198778
1,3,0,0,0,1,0,1,1,1,0,0,1,1,1,-0.182698
0,3,1,0,0,2,0,0,1,1,0,0,1,1,1,-0.189198
0,3,1,0,0,1,0,1,1,1,1,0,0,1,1,-0.182638
0,3,0,1,0,2,0,1,0,1,0,0,1,1,1,-0.197068
0,3,0,1,0,1,0,2,0,1,1,0,0,1,1,-0.189858
0,3,0,0,1,2,0,1,1,0,0,0,1,1,1,-0.190408
2,2,0,0,0,0,0,2,1,1,0,0,0,2,1,-0.191388
1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,-0.181818
1,2,1,0,0,1,0,1,0,2,0,0,0,3,0,-0.167778
0,2,2,0,0,2,0,0,1,1,0,1,0,1,1,-0.199468
0,2,0,2,0,1,0,2,0,1,2,0,0,0,1,-0.179008
0,2,0,1,1,2,0,1,0,1,0,0,2,1,0,-0.169788
2,1,0,0,1,0,1,2,1,0,1,0,0,1,1,-0.173208
1,1,2,0,0,0,0,0,2,2,1,1,1,0,0,-0.197488
1,1,1,1,0,2,1,0,0,1,0,0,1,1,1,-0.199928
1,1,0,2,0,2,0,1,0,1,0,1,1,0,1,-0.171378
1,1,0,1,1,0,0,2,0,2,1,1,0,1,0,-0.155028
1,1,0,2,0,1,0,1,0,2,0,1,0,1,1,-0.170838
0,0,4,0,0,2,1,0,0,1,0,1,0,1,1,-0.213788
0,0,4,0,0,2,2,0,0,0,0,0,0,2,1,-0.207158
0,0,4,0,0,0,0,0,2,2,2,1,0,0,0,-0.225478
0,0,4,0,0,0,0,0,2,2,1,2,0,0,0,-0.229078
0,0,4,0,0,1,0,0,2,1,1,2,0,0,0,-0.226998
0,0,4,0,0,1,0,0,1,2,1,2,0,0,0,-0.225268
0,1,3,0,0,1,1,0,1,1,1,0,0,1,1,-0.218418
0,1,3,0,0,2,0,0,0,2,0,1,0,2,0,-0.217898
1,0,3,0,0,1,0,0,0,3,0,1,0,2,0,-0.214948
1,0,3,0,0,0,2,0,1,1,1,0,0,2,0,-0.211128
0,0,3,1,0,0,1,0,1,2,1,1,0,0,1,-0.238338
0,0,3,1,0,1,0,0,1,2,1,1,0,0,1,-0.234988
0,2,2,0,0,1,0,0,2,1,1,0,0,1,1,-0.205598
0,2,2,0,0,0,0,0,2,2,2,0,0,1,0,-0.204048
1,1,2,0,0,2,0,0,0,2,0,1,0,1,1,-0.191778
0,1,2,0,1,0,2,0,2,0,2,0,0,0,1,-0.212848
2,0,2,0,0,0,0,0,2,2,0,1,1,0,1,-0.209008
0,0,2,2,0,0,1,1,0,2,2,1,0,0,0,-0.200138
0,3,1,0,0,1,0,2,0,1,1,0,0,1,1,-0.180038
1,2,1,0,0,1,0,0,1,2,1,0,1,0,1,-0.177848
0,2,1,1,0,0,0,2,0,2,1,0,0,1,1,-0.211068
0,2,1,0,1,0,0,0,2,2,1,1,1,0,0,-0.200018
0,2,1,0,1,3,0,0,1,0,0,0,1,2,0,-0.194698
0,2,1,1,0,2,0,1,0,1,0,1,1,1,0,-0.203608
0,0,0,4,0,2,0,1,0,1,0,2,1,0,0,-0.189058
0,0,0,4,0,1,2,0,0,1,1,0,1,0,1,-0.186698
0,0,0,4,0,1,1,2,0,0,1,1,0,0,1,-0.190018
0,0,0,4,0,0,1,2,0,1,2,1,0,0,0,-0.190818
0,0,0,4,0,2,1,1,0,0,0,0,1,0,2,-0.183948
0,0,0,4,0,2,1,0,0,1,0,0,2,0,1,-0.183328
0,0,1,3,0,2,1,0,0,1,0,1,1,0,1,-0.179248
0,0,1,3,0,1,2,0,0,1,1,0,1,0,1,-0.178748
0,1,0,3,0,0,1,1,0,2,3,0,0,0,0,-0.185108
1,0,0,3,0,0,0,2,0,2,0,2,0,0,1,-0.174298
0,0,0,3,1,2,1,1,0,0,0,2,1,0,0,-0.176408
1,0,0,3,0,0,2,1,1,0,0,0,1,0,2,-0.174138
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,-0.201118
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,-0.191658
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-0.193898
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-0.188698
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-0.159748
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-0.181688
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-0.235608
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-0.219618
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-0.180568
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-0.183758
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-0.212758
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-0.208188
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-0.203798
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-0.205368
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-0.208928
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-0.216398
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-0.207258
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-0.206838
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-0.203868
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-0.202048
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-0.224838
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-0.218718
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-0.206168
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-0.222118
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-0.193788
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-0.183868
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-0.217098
