Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,-1.7121926
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,-1.5635126
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,-1.6179326
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,-1.6694126
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,-1.6717826
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,-1.7766426
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-1.6999726
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,-1.8848326
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,-1.4181626
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,-1.4953826
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,-1.6210326
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,-1.8676626
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,-1.6833726
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,-1.6769226
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,-1.0603326
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,-1.2061926
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,-1.7845026
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,-1.5343926
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,-1.6964226
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,-1.5909726
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,-1.4432826
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,-1.1137626
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,-0.9913726
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-0.8461826
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,-1.4909126
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,-1.4122926
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,-1.4997126
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,-1.5069526
0,4,0,0,0,0,0,1,2,1,2,0,0,0,1,-1.5013226
0,4,0,0,0,0,0,1,1,2,2,0,1,0,0,-1.5067626
1,3,0,0,0,1,0,1,1,1,0,0,1,1,1,-1.6250926
0,3,1,0,0,2,0,0,1,1,0,0,1,1,1,-1.6850126
0,3,1,0,0,1,0,1,1,1,1,0,0,1,1,-1.5358426
0,3,0,1,0,2,0,1,0,1,0,0,1,1,1,-1.3436026
0,3,0,1,0,1,0,2,0,1,1,0,0,1,1,-1.2162726
0,3,0,0,1,2,0,1,1,0,0,0,1,1,1,-1.3162926
2,2,0,0,0,0,0,2,1,1,0,0,0,2,1,-1.7166526
1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,-1.4198826
1,2,1,0,0,1,0,1,0,2,0,0,0,3,0,-1.7160826
0,2,2,0,0,2,0,0,1,1,0,1,0,1,1,-1.6168226
0,2,0,2,0,1,0,2,0,1,2,0,0,0,1,-1.0572526
0,2,0,1,1,2,0,1,0,1,0,0,2,1,0,-1.1029226
2,1,0,0,1,0,1,2,1,0,1,0,0,1,1,-1.4000926
1,1,2,0,0,0,0,0,2,2,1,1,1,0,0,-1.4270626
1,1,1,1,0,2,1,0,0,1,0,0,1,1,1,-1.3477026
1,1,0,2,0,2,0,1,0,1,0,1,1,0,1,-1.0335926
1,1,0,1,1,0,0,2,0,2,1,1,0,1,0,-1.1217026
1,1,0,2,0,1,0,1,0,2,0,1,0,1,1,-1.1835326
0,0,4,0,0,2,1,0,0,1,0,1,0,1,1,-1.2588526
0,0,4,0,0,2,2,0,0,0,0,0,0,2,1,-1.3175726
0,0,4,0,0,0,0,0,2,2,2,1,0,0,0,-1.0395926
0,0,4,0,0,0,0,0,2,2,1,2,0,0,0,-0.8827626
0,0,4,0,0,1,0,0,2,1,1,2,0,0,0,-0.9474426
0,0,4,0,0,1,0,0,1,2,1,2,0,0,0,-0.9252826
0,1,3,0,0,1,1,0,1,1,1,0,0,1,1,-1.2012326
0,1,3,0,0,2,0,0,0,2,0,1,0,2,0,-1.1537326
1,0,3,0,0,1,0,0,0,3,0,1,0,2,0,-1.1657326
1,0,3,0,0,0,2,0,1,1,1,0,0,2,0,-1.4206326
0,0,3,1,0,0,1,0,1,2,1,1,0,0,1,-0.8425426
0,0,3,1,0,1,0,0,1,2,1,1,0,0,1,-0.7294226
0,2,2,0,0,1,0,0,2,1,1,0,0,1,1,-1.6296526
0,2,2,0,0,0,0,0,2,2,2,0,0,1,0,-1.5450926
1,1,2,0,0,2,0,0,0,2,0,1,0,1,1,-1.6098526
0,1,2,0,1,0,2,0,2,0,2,0,0,0,1,-0.9785326
2,0,2,0,0,0,0,0,2,2,0,1,1,0,1,-1.4921826
0,0,2,2,0,0,1,1,0,2,2,1,0,0,0,-0.6453026
0,3,1,0,0,1,0,2,0,1,1,0,0,1,1,-1.4511926
1,2,1,0,0,1,0,0,1,2,1,0,1,0,1,-1.5687926
0,2,1,1,0,0,0,2,0,2,1,0,0,1,1,-1.0716426
0,2,1,0,1,0,0,0,2,2,1,1,1,0,0,-1.1560726
0,2,1,0,1,3,0,0,1,0,0,0,1,2,0,-1.3074526
0,2,1,1,0,2,0,1,0,1,0,1,1,1,0,-1.2243226
0,0,0,4,0,2,0,1,0,1,0,2,1,0,0,-0.3465826
0,0,0,4,0,1,2,0,0,1,1,0,1,0,1,-0.5855426
0,0,0,4,0,1,1,2,0,0,1,1,0,0,1,-0.3062726
0,0,0,4,0,0,1,2,0,1,2,1,0,0,0,-0.3769726
0,0,0,4,0,2,1,1,0,0,0,0,1,0,2,-0.4501826
0,0,0,4,0,2,1,0,0,1,0,0,2,0,1,-0.4869226
0,0,1,3,0,2,1,0,0,1,0,1,1,0,1,-0.7449726
0,0,1,3,0,1,2,0,0,1,1,0,1,0,1,-0.7596426
0,1,0,3,0,0,1,1,0,2,3,0,0,0,0,-0.7330926
1,0,0,3,0,0,0,2,0,2,0,2,0,0,1,-0.6977926
0,0,0,3,1,2,1,1,0,0,0,2,1,0,0,-0.5394026
1,0,0,3,0,0,2,1,1,0,0,0,1,0,2,-0.6652526
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,-0.8541326
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,-0.9956426
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,-0.8657326
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,-1.0998426
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,-0.8893426
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,-1.2663126
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,-0.5744626
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,-1.0974226
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,-0.9623726
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,-0.9661626
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,-1.2700326
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,-1.2842326
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,-0.5914226
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,-0.6317926
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,-0.4932426
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,-0.5115326
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,-0.6933926
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,-0.5455426
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,-0.8309426
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,-0.7257426
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,-0.5760826
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,-0.4579726
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,-0.7312226
0,0,0,1,3,0,1,2,1,0,1,1,1,0,0,-0.5608826
2,0,0,0,2,0,2,0,2,0,0,0,2,1,0,-1.3054626
1,1,0,0,2,1,1,1,1,0,0,0,2,1,0,-1.2114726
0,1,1,0,2,1,0,0,3,0,1,1,1,0,0,-0.7194026
0,0,2,0,2,0,2,0,2,0,2,0,0,1,0,-0.8656126
0,0,2,0,2,0,1,0,3,0,2,1,0,0,0,-0.7617926
0,0,0,2,2,2,0,2,0,0,0,3,0,0,0,-0.5035626
2,1,0,0,1,0,1,2,0,1,1,0,0,2,0,-1.4314626
2,1,0,0,1,0,1,2,0,1,0,1,0,2,0,-1.4434026
2,0,1,0,1,0,1,1,2,0,1,0,1,0,1,-1.3343026
2,0,1,0,1,0,1,1,2,0,1,0,0,1,1,-1.3691626
1,1,0,1,1,0,0,1,1,2,1,1,1,0,0,-1.0220726
1,0,2,0,1,2,1,0,1,0,0,1,0,1,1,-1.0755226
0,1,1,0,2,4,0,0,0,0,0,1,1,1,0,-0.9279926
