Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,-4.14E-01
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,-4.40E-01
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,-4.53E-01
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,-4.54E-01
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,-3.96E-01
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,-4.27E-01
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-4.22E-01
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,-4.16E-01
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,-4.39E-01
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,-4.31E-01
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,-4.10E-01
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,-3.99E-01
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,-4.34E-01
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,-4.32E-01
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,-5.01E-01
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,-4.91E-01
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,-4.22E-01
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,-4.52E-01
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,-4.45E-01
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,-4.90E-01
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,-4.47E-01
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,-4.93E-01
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,-5.41E-01
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-4.79E-01
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,-4.27E-01
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,-4.57E-01
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,-4.53E-01
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,-4.85E-01
