Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
3,0,0,0,0,1,1,1,0,0,1,0,0,0,0,-0.2476463
3,0,0,0,0,1,1,0,1,0,0,0,0,1,0,-0.0374063
3,0,0,0,0,1,0,2,0,0,0,0,1,0,0,-0.0691663
3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0.1835937
2,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0.1268337
2,1,0,0,0,1,1,0,1,0,0,1,0,0,0,-0.1832663
2,1,0,0,0,1,0,2,0,0,0,0,0,0,1,0.3591037
2,1,0,0,0,0,2,0,1,0,1,0,0,0,0,-0.2517763
2,0,1,0,0,1,1,1,0,0,0,1,0,0,0,-0.2319463
2,0,1,0,0,1,0,1,1,0,0,0,0,1,0,-0.0471763
2,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0.0111437
2,0,1,0,0,0,1,1,1,0,1,0,0,0,0,-0.2713063
2,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0.1191137
2,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0.0963437
2,0,0,1,0,0,2,1,0,0,0,1,0,0,0,-0.1104263
2,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0.1595937
2,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0.1489437
2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0.1987037
1,1,1,0,0,2,1,0,0,0,0,0,0,0,1,-0.0248763
1,1,1,0,0,2,0,0,1,0,0,0,1,0,0,0.0002537
1,1,1,0,0,2,0,0,0,1,0,0,0,1,0,0.0351137
1,1,1,0,0,0,2,0,1,0,1,0,0,0,0,-0.2777163
1,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0.1103037
1,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0.1316737
1,1,0,1,0,1,0,2,0,0,0,1,0,0,0,0.1988837
1,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0.0731137
1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0.2107337
1,1,0,0,1,1,0,2,0,0,0,0,0,0,1,0.4030237
1,1,0,0,1,1,0,1,1,0,0,1,0,0,0,0.1215837
1,0,1,1,0,1,2,0,0,0,0,0,0,0,1,-0.0565663
1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0.0169437
1,0,1,1,0,0,2,0,1,0,1,0,0,0,0,-0.1588263
1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,-0.0201063
1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,-0.0076363
1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0.0678737
1,0,1,0,1,1,0,0,1,1,0,1,0,0,0,-0.0203763
1,0,1,0,1,0,1,2,0,0,1,0,0,0,0,-0.0190863
1,0,0,1,1,1,1,1,0,0,0,1,0,0,0,0.1249537
1,0,0,1,1,1,0,0,2,0,0,0,0,1,0,0.2459337
1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0.1433937
0,3,0,0,0,2,1,0,0,0,1,0,0,0,0,-0.1233463
0,3,0,0,0,2,0,1,0,0,0,0,0,0,1,0.4549737
0,3,0,0,0,2,0,0,1,0,0,0,1,0,0,0.1229637
0,3,0,0,0,1,2,0,0,0,0,0,0,1,0,0.0281537
0,3,0,0,0,1,1,1,0,0,0,0,1,0,0,0.1532937
0,3,0,0,0,1,1,0,1,0,0,0,0,0,1,0.2097237
0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0.1034137
0,3,0,0,0,1,0,2,0,0,0,1,0,0,0,0.2735537
0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,0.4799637
0,3,0,0,0,1,0,1,0,1,1,0,0,0,0,0.1824437
0,3,0,0,0,1,0,0,1,1,0,0,1,0,0,0.1481237
