Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,E_ads
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,-3.51E-01
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,-3.62E-01
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,-3.71E-01
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,-3.73E-01
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,-3.36E-01
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,-3.58E-01
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,-3.42E-01
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,-3.55E-01
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,-3.63E-01
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,-3.82E-01
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,-3.32E-01
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,-3.40E-01
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,-3.47E-01
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,-3.84E-01
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,-4.00E-01
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,-4.27E-01
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,-3.51E-01
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,-3.64E-01
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,-3.68E-01
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,-4.23E-01
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,-3.72E-01
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,-3.93E-01
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,-4.66E-01
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-4.16E-01
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,-3.41E-01
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,-3.56E-01
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,-3.49E-01
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,-3.83E-01
0,4,0,0,0,0,0,1,2,1,2,0,0,0,1,-3.76E-01
0,4,0,0,0,0,0,1,1,2,2,0,1,0,0,-3.98E-01
1,3,0,0,0,1,0,1,1,1,0,0,1,1,1,-3.40E-01
0,3,1,0,0,2,0,0,1,1,0,0,1,1,1,-3.54E-01
0,3,1,0,0,1,0,1,1,1,1,0,0,1,1,-3.70E-01
0,3,0,1,0,2,0,1,0,1,0,0,1,1,1,-3.55E-01
0,3,0,1,0,1,0,2,0,1,1,0,0,1,1,-3.71E-01
0,3,0,0,1,2,0,1,1,0,0,0,1,1,1,-3.75E-01
2,2,0,0,0,0,0,2,1,1,0,0,0,2,1,-3.32E-01
1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,-3.61E-01
1,2,1,0,0,1,0,1,0,2,0,0,0,3,0,-3.51E-01
0,2,2,0,0,2,0,0,1,1,0,1,0,1,1,-3.73E-01
0,2,0,2,0,1,0,2,0,1,2,0,0,0,1,-4.11E-01
0,2,0,1,1,2,0,1,0,1,0,0,2,1,0,-3.96E-01
2,1,0,0,1,0,1,2,1,0,1,0,0,1,1,-4.04E-01
1,1,2,0,0,0,0,0,2,2,1,1,1,0,0,-4.41E-01
1,1,1,1,0,2,1,0,0,1,0,0,1,1,1,-3.66E-01
1,1,0,2,0,2,0,1,0,1,0,1,1,0,1,-3.93E-01
1,1,0,1,1,0,0,2,0,2,1,1,0,1,0,-4.38E-01
1,1,0,2,0,1,0,1,0,2,0,1,0,1,1,-3.84E-01
0,0,4,0,0,2,1,0,0,1,0,1,0,1,1,-3.98E-01
0,0,4,0,0,2,2,0,0,0,0,0,0,2,1,-3.63E-01
0,0,4,0,0,0,0,0,2,2,2,1,0,0,0,-4.71E-01
0,0,4,0,0,0,0,0,2,2,1,2,0,0,0,-4.82E-01
0,0,4,0,0,1,0,0,2,1,1,2,0,0,0,-4.71E-01
0,0,4,0,0,1,0,0,1,2,1,2,0,0,0,-4.77E-01
0,1,3,0,0,1,1,0,1,1,1,0,0,1,1,-3.98E-01
0,1,3,0,0,2,0,0,0,2,0,1,0,2,0,-3.96E-01
1,0,3,0,0,1,0,0,0,3,0,1,0,2,0,-4.06E-01
1,0,3,0,0,0,2,0,1,1,1,0,0,2,0,-3.92E-01
0,0,3,1,0,0,1,0,1,2,1,1,0,0,1,-4.41E-01
0,0,3,1,0,1,0,0,1,2,1,1,0,0,1,-4.46E-01
0,2,2,0,0,1,0,0,2,1,1,0,0,1,1,-3.90E-01
0,2,2,0,0,0,0,0,2,2,2,0,0,1,0,-4.27E-01
