Cu1,Zn1,Pd1,Ag1,Au1,Cu2,Zn2,Pd2,Ag2,Au2,Cu3,Zn3,Pd3,Ag3,Au3,bond
4,0,0,0,0,0,2,1,1,0,0,0,1,1,1,142.62
4,0,0,0,0,0,1,2,1,0,0,1,0,1,1,141.928
4,0,0,0,0,0,1,1,2,0,0,1,1,0,1,141.572
4,0,0,0,0,0,1,1,0,2,0,1,1,1,0,141.913
4,0,0,0,0,0,2,2,0,0,0,0,0,2,1,142.524
4,0,0,0,0,0,2,0,2,0,0,0,2,0,1,141.873
3,1,0,0,0,0,1,1,1,1,0,0,1,1,1,141.576
3,0,1,0,0,0,2,0,1,1,0,0,1,1,1,142.763
3,0,0,1,0,0,2,1,0,1,0,0,1,1,1,141.958
3,0,0,0,1,0,2,1,1,0,0,0,1,1,1,141.895
3,1,0,0,0,0,1,2,0,1,0,0,0,2,1,141.71
3,0,1,0,0,0,2,1,0,1,0,0,0,2,1,143.216
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,141.95
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,142.139
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,141.123
2,0,0,0,2,0,1,1,2,0,0,1,1,1,0,141.381
2,1,1,0,0,0,1,1,2,0,0,0,0,1,2,142.237
2,1,0,1,0,0,1,1,2,0,0,0,1,0,2,140.952
1,2,1,0,0,1,0,0,2,1,0,0,1,1,1,142.739
1,1,2,0,0,0,0,0,2,2,1,1,0,1,0,142.362
1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,141.592
1,1,0,2,0,1,0,1,1,1,0,1,1,0,1,141.102
1,1,0,0,2,0,0,1,3,0,1,1,1,0,0,141.582
1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,141.943
0,4,0,0,0,2,0,1,1,0,0,0,1,1,1,141.838
0,4,0,0,0,1,0,2,1,0,1,0,0,0,2,140.773
0,4,0,0,0,1,0,1,2,0,1,0,0,0,2,141.472
0,4,0,0,0,0,0,2,0,2,2,0,0,1,0,141.1
0,4,0,0,0,0,0,1,2,1,2,0,0,0,1,141.113
0,4,0,0,0,0,0,1,1,2,2,0,1,0,0,141.265
1,3,0,0,0,1,0,1,1,1,0,0,1,1,1,142.078
0,3,1,0,0,2,0,0,1,1,0,0,1,1,1,142.078
0,3,1,0,0,1,0,1,1,1,1,0,0,1,1,141.829
0,3,0,1,0,2,0,1,0,1,0,0,1,1,1,141.907
0,3,0,1,0,1,0,2,0,1,1,0,0,1,1,141.714
0,3,0,0,1,2,0,1,1,0,0,0,1,1,1,141.554
2,2,0,0,0,0,0,2,1,1,0,0,0,2,1,142.027
1,2,0,1,0,1,0,1,1,1,0,0,1,1,1,141.781
1,2,1,0,0,1,0,1,0,2,0,0,0,3,0,142.838
0,2,2,0,0,2,0,0,1,1,0,1,0,1,1,142.787
0,2,0,2,0,1,0,2,0,1,2,0,0,0,1,140.884
0,2,0,1,1,2,0,1,0,1,0,0,2,1,0,140.772
2,1,0,0,1,0,1,2,1,0,1,0,0,1,1,141.17
1,1,2,0,0,0,0,0,2,2,1,1,1,0,0,142.552
1,1,1,1,0,2,1,0,0,1,0,0,1,1,1,142.096
1,1,0,2,0,2,0,1,0,1,0,1,1,0,1,141.212
1,1,0,1,1,0,0,2,0,2,1,1,0,1,0,141.322
1,1,0,2,0,1,0,1,0,2,0,1,0,1,1,141.221
0,0,4,0,0,2,1,0,0,1,0,1,0,1,1,141.89
0,0,4,0,0,2,2,0,0,0,0,0,0,2,1,141.555
0,0,4,0,0,0,0,0,2,2,2,1,0,0,0,141.287
0,0,4,0,0,0,0,0,2,2,1,2,0,0,0,141.327
0,0,4,0,0,1,0,0,2,1,1,2,0,0,0,141.451
0,0,4,0,0,1,0,0,1,2,1,2,0,0,0,141.426
0,1,3,0,0,1,1,0,1,1,1,0,0,1,1,142.726
0,1,3,0,0,2,0,0,0,2,0,1,0,2,0,142.75
1,0,3,0,0,1,0,0,0,3,0,1,0,2,0,142.392
1,0,3,0,0,0,2,0,1,1,1,0,0,2,0,142.678
0,0,3,1,0,0,1,0,1,2,1,1,0,0,1,140.374
0,0,3,1,0,1,0,0,1,2,1,1,0,0,1,139.903
0,2,2,0,0,1,0,0,2,1,1,0,0,1,1,142.358
0,2,2,0,0,0,0,0,2,2,2,0,0,1,0,142.396
1,1,2,0,0,2,0,0,0,2,0,1,0,1,1,142.48
0,1,2,0,1,0,2,0,2,0,2,0,0,0,1,141.66
2,0,2,0,0,0,0,0,2,2,0,1,1,0,1,142.558
0,0,2,2,0,0,1,1,0,2,2,1,0,0,0,141.87
0,3,1,0,0,1,0,2,0,1,1,0,0,1,1,142.264
1,2,1,0,0,1,0,0,1,2,1,0,1,0,1,142.396
0,2,1,1,0,0,0,2,0,2,1,0,0,1,1,141.581
0,2,1,0,1,0,0,0,2,2,1,1,1,0,0,141.57
0,2,1,0,1,3,0,0,1,0,0,0,1,2,0,142.124
0,2,1,1,0,2,0,1,0,1,0,1,1,1,0,142.188
0,0,0,4,0,2,0,1,0,1,0,2,1,0,0,140.295
0,0,0,4,0,1,2,0,0,1,1,0,1,0,1,140.346
0,0,0,4,0,1,1,2,0,0,1,1,0,0,1,140.234
0,0,0,4,0,0,1,2,0,1,2,1,0,0,0,140.268
0,0,0,4,0,2,1,1,0,0,0,0,1,0,2,140.295
0,0,0,4,0,2,1,0,0,1,0,0,2,0,1,140.135
0,0,1,3,0,2,1,0,0,1,0,1,1,0,1,141.958
0,0,1,3,0,1,2,0,0,1,1,0,1,0,1,142.04
0,1,0,3,0,0,1,1,0,2,3,0,0,0,0,142.192
1,0,0,3,0,0,0,2,0,2,0,2,0,0,1,142.2
0,0,0,3,1,2,1,1,0,0,0,2,1,0,0,140.262
1,0,0,3,0,0,2,1,1,0,0,0,1,0,2,142.525
0,0,2,2,0,0,2,0,1,1,2,0,0,0,1,142.003
0,0,2,2,0,1,2,0,0,1,0,0,2,0,1,141.66
0,1,1,2,0,2,1,0,0,1,1,0,1,1,0,140.485
1,0,1,2,0,2,2,0,0,0,0,1,0,0,2,141.802
0,0,1,2,1,2,2,0,0,0,0,1,1,1,0,141.961
0,2,0,2,0,2,1,0,0,1,0,0,1,0,2,141.752
0,1,2,1,0,0,0,1,2,1,2,1,0,0,0,140.432
1,0,2,1,0,2,1,0,1,0,0,0,0,0,3,140.546
0,0,2,1,1,1,2,0,1,0,0,0,0,1,2,141.573
0,0,2,1,1,1,2,0,0,1,2,0,0,0,1,142.174
0,2,1,1,0,1,0,0,1,2,0,1,1,0,1,142.057
0,2,1,1,0,1,0,0,1,2,0,0,1,1,1,142.051
0,0,0,0,4,2,1,1,0,0,0,1,1,1,0,143.104
0,0,0,0,4,1,2,0,1,0,1,0,1,1,0,142.875
0,0,0,0,4,1,1,2,0,0,1,1,0,1,0,138.795
0,0,0,0,4,1,1,0,2,0,1,1,1,0,0,141.153
0,0,0,0,4,2,1,1,0,0,0,1,0,2,0,143.257
0,0,0,0,4,2,1,0,1,0,0,1,2,0,0,142.598
1,0,0,0,3,1,1,1,1,0,0,0,1,2,0,143.377
1,0,0,0,3,0,2,2,0,0,0,1,0,2,0,142.657
0,1,0,0,3,0,0,1,3,0,1,1,1,0,0,142.878
0,1,0,0,3,0,0,2,2,0,1,1,1,0,0,142.714
0,0,1,0,3,2,1,0,1,0,1,0,1,1,0,143.175
